aliases,industries,countries,software,malware,vulns,targeted_products,attacks
,,,,,,Tealeaf Cxview,
,,,,,,P 2000,
,,,,,,D95 Copier/Printer,
,,,,,,ArcServe High Availability,
,,,,,,Security Network Intrusion Prevention System,
,,,,,,Snapprotect,
,,,,,,Hp Officejet Pro X476Dw,
,,,,,,Borland Silk Performer Synthetic Transaction Monitoring for BMC Software,
,,,,,,Xenmobile App Controller,
,,,,,,Business Process Monitor (Application),
,,,,,,Insight Control Server Deployment (Application),
,,,,,,Tivoli Netcool System Service Monitor,
,,,,,,Infosphere Guardium,
,,,,,,Toolscenter Suite,
,,,,,,Commerce Server,
,,,,,,Aura Communication Manager,
,,,,,,Content Analysis System,
,,,,,,Cloud System Chargeback,
,,,,,,Rational Build Forge (Application),
,,,,,,Virtuozzo Containers,
,,,,,,Sterling Connect:Direct Browser,
,,,,,,Oracle Communications Operations Monitor,
,,,,,,Storwize V3500 (Application),
,,,,,,XenClient Enterprise Engine,
,,,,,,Upward Integration Modules (Uim),
,,,,,,Word Viewer,
,,,,,,Oracle Enterprise Manager Cloud Control,
,,,,,,Primavera P6 Prof Project Management,
,,,,,,Big-Ip Application Acceleration Manager,
,,,,,,SMI-S Provider (Application),
,,,,,,Systems Director,
,,,,,,v60 Firmware,
,,,,,,Objectscale,
,,,,,,System X IMM2,
,,,,,,Enterprise Linux Desktop (OS),
,,,,,,Atrium Discovery and Dependency Mapping,
,,,,,,Windows Server 2008,
,,,,,,Tealeaf Cx,
,,,,,,MainView Console Automation for Zenterprise,
,,,,,,Hp Officejet Pro X551Dw,
,,,,,,Tealeaf Cxconnect For Data Analysis,
,,,,,,Tivoli Storage Productivity Center,
,,,,,,Tealeaf Cxreveal,
,,,,,,Enterprise Linux Server Tus,
,,,,,,Windows 7,
,,,,,,Windows Vista (OS),
,,,,,,Windows Server 2012,
,,,,,,Ruby,
,,,,,,Systems Director Agent,
,,,,,,Dns/Dhcp Server,
,,,,,,Oracle Enterprise Manager Grid Control 12C,
,,,,,,Thinpro Os,
,,,,,,Insight Management Vcem Web Client Sdk,
,,,,,,Windows 8.1,
,,,,,,Nt (OS),
,,,,,,Smartcloud Provisioning (Application),
,,,,,,Oracle Communications Policy Management 11,
,,,,,,Cloudsystem Foundation,
,,,,,,Msa 1040 Storage,
,,,,,,SSL Network Extender,
,,,,,,Oncommand Workflow Automation,
,,,,,,Nonstop Volume Level Encryption J06.13.01,
,,,,,,Mguard,
,,,,,,Worx Home,
,,,,,,Connect-It (Cit),
,,,,,,Contact Center Manager Server,
,,,,,,Mobile Platform Sdk,
,,,,,,Opensuse,
,,,,,,Flex System V7000 Storage Node,
,,,,,,Ubuntu Linux,
,,,,,,Arcserve D2D,
,,,,,,Red Hat Enterprise Linux Hpc Node,
,,,,,,Transaction Management Application Response Time,
,,,,,,Endpoint Connect,
,,,,,,Visual Foxpro (Application),
,,,,,,Hp Officejet Pro 251Dw,
,,,,,,Laserjet Pro 500,
,,,,,,Oncommand Unified Manager Core Package,
,,,,,,Red Hat Enterprise Virtualization,
,,,,,,Imail Secure,
,,,,,,Psb Server Security,
,,,,,,Sybase Agentry,
,,,,,,Websphere Cast Iron Cloud Integration,
,,,,,,Cloudsystem Enterprise,
,,,,,,EcoMeter,
,,,,,,Big-Ip Edge Clients For Mac Os X 7080,
,,,,,,ArcServe Replication,
,,,,,,Connectport Lts,
,,,,,,Red Hat Enterprise Linux Workstation,
,,,,,,Messaging Secure Gateway,
,,,,,,Office,
,,,,,,System X3100 Series,
,,,,,,Enterprise Linux Workstation,
,,,,,,Big-Ip Edge Clients For Windows 7080,
,,,,,,System X3750,
,,,,,,Simatic Cp 1543-1,
,,,,,,Ape,
,,,,,,Systems Insight Manager (Application),
,,,,,,System Management Homepage,
,,,,,,Sybase Sql Anywhere,
,,,,,,Server Message Block,
,,,,,,Netezza (Application),
,,,,,,Windows Rt,
,,,,,,D136 Copier/Printer,
,,,,,,Os/400,
,,,,,,Big-IP PSM,
,,,,,,Network Interactive Voice Response,
,,,,,,Windows Server 2008 (OS),
,,,,,,Tealeaf Cximpact,
,,,,,,Flex System X440,
,,,,,,T505 Thin Client,
,,,,,,Configuration Management System,
,,,,,,Email And Server Security (Application),
,,,,,,Msa 2040 Storage,
,,,,,,Laserjet Pro M521,
,,,,,,Nonstop Volume Level Encryption J06.14,
,,,,,,Imail,
,,,,,,Unified IP Phone 7900,
,,,,,,Infosphere Guardium Data Encryption,
,,,,,,Rational Team Concert (Application),
,,,,,,Nonstop Volume Level Encryption J06.16.03,
,,,,,,Nonstop Volume Level Encryption J06.16,
,,,,,,Autonomy Worksite Server Sp1,
,,,,,,Rox I,
,,,,,,Oracle Communications Network,
,,,,,,Ibm Campaign,
,,,,,,Oracle Communications Interactive Session Recorder,
,,,,,,v100 Firmware,
,,,,,,Fortirecorder,
,,,,,,Opc Ua Sdk,
,,,,,,Xp P9500 Disk Array Oss 70-06-01/00,
,,,,,,Oracle Mobile Security Suite,
,,,,,,WebSphere MQ,
,,,,,,Arubaos,
,,,,,,Hp Officejet Pro X451Dw,
,,,,,,System X3200 Series,
,,,,,,SANtricity Management Plug-ins (Application),
,,,,,,Oracle Linux,
,,,,,,Hp 3Par Os,
,,,,,,Hp Officejet Pro X451Dn,
,,,,,,Big-Ip Pem,
,,,,,,Tomcat Native,
,,,,,,XenMobile MDX Toolkit & SDK,
,,,,,,Network Connect,
,,,,,,IPSO,
,,,,,,Uim Inventory Tool,
,,,,,,Atvise,
,,,,,,AIX,
,,,,,,Insight Control Server Migration V7.3,
,,,,,,Tealeaf Cx Mobile,
,,,,,,Clustered Data ONTAP Antivirus Connector (Application),
,,,,,,Tealeaf Cxconnect For Web Analytics,
,,,,,,Layer 7 Mobile Access Gateway,
,,,,,,Aura Utility Services,
,,,,,,Oracle Communications Diameter Signaling Router,
,,,,,,Nonstop Volume Level Encryption J06.16.01,
,,,,,,Big-Ip Analytics,
,,,,,,Rox Ii,
,,,,,,Multimedia Service Environment,
,,,,,,Sybase Replication Server,
,,,,,,Storwize V3700 (Application),
,,,,,,Visual Basic,
,,,,,,Nonstop Volume Level Encryption J06.15.02,
,,,,,,Aura Collaboration Environment,
,,,,,,Media Processing Server,
,,,,,,Proxysg,
,,,,,,Enterprise Linux Server Eus,
,,,,,,Systems Insight Manager,
,,,,,,Bladesystem C-Class Virtual Connect Support Utility,
,,,,,,Red Hat Enterprise Linux Server EUS,
,,,,,,Ibrix X9320,
,,,,,,Windows 7 (OS),
,,,,,,Flex System x222 (Firmware),
,,,,,,Address Manager,
,,,,,,End User Experience Management,
,,,,,,Hp Service Manager,
,,,,,,Insight Control Server Deployment,
,,,,,,Windows Rt 8.1 (OS),
,,,,,,Office (Application),
,,,,,,Communications Session Monitor,
,,,,,,Rational Clearcase,
,,,,,,CP 1543-1 Firmware,
,,,,,,Mobile Platform SDK,
,,,,,,Oracle MySQL Enterprise Monitor,
,,,,,,SecurePlatform,
,,,,,,Call Management System (CMS),
,,,,,,HP Diagnostics,
,,,,,,Telepresence Video Communication Server,
,,,,,,Content Analysis System (Application),
